"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.416700709E2,6.505510939E1,2.545750567E1,7.799393637E0,1.529999971E0,9.159999847E1,3.790092468E0,2.500000000E0
1.426707787E2,6.505510964E1,2.545753758E1,7.590656718E0,1.539999962E0,9.009999847E1,3.790092468E0,2.500000000E0
1.436699864E2,6.505511001E1,2.545757053E1,7.493858340E0,1.580000043E0,9.040000153E1,3.790092468E0,2.500000000E0
1.446707035E2,6.505510998E1,2.545760117E1,7.382533504E0,1.509999990E0,9.130000305E1,3.790092468E0,2.500000000E0
1.456705130E2,6.505511020E1,2.545763171E1,7.292692934E0,1.480000019E0,9.200000000E1,3.790092468E0,2.500000000E0
1.466703210E2,6.505511006E1,2.545766093E1,7.391084786E0,1.429999948E0,9.109999847E1,3.790092468E0,2.500000000E0
1.476701129E2,6.505510927E1,2.545769205E1,7.670873579E0,1.480000019E0,9.069999695E1,3.790092468E0,2.500000000E0
1.486708508E2,6.505510898E1,2.545772431E1,7.647927923E0,1.500000000E0,9.140000153E1,3.790092468E0,2.500000000E0
1.496705783E2,6.505510780E1,2.545775902E1,7.811628385E0,1.559999943E0,9.400000000E1,3.790092468E0,2.500000000E0
1.506706740E2,6.505510692E1,2.545779398E1,7.822435690E0,1.559999943E0,9.230000305E1,3.790092468E0,2.500000000E0
1.516702561E2,6.505510620E1,2.545782767E1,7.682363890E0,1.529999971E0,9.159999847E1,3.790092468E0,2.500000000E0
1.526702775E2,6.505510657E1,2.545785920E1,7.702935966E0,1.509999990E0,8.980000305E1,3.790092468E0,2.500000000E0
1.536700417E2,6.505510728E1,2.545789073E1,7.720456151E0,1.490000010E0,8.869999695E1,3.790092468E0,2.500000000E0
1.546699172E2,6.505510712E1,2.545792392E1,7.787659470E0,1.519999981E0,9.140000153E1,3.790092468E0,2.500000000E0
1.556703932E2,6.505510711E1,2.545795591E1,7.996097954E0,1.509999990E0,9.119999695E1,3.790092468E0,2.500000000E0
1.566707273E2,6.505510716E1,2.545798272E1,7.878730196E0,1.409999967E0,9.130000305E1,3.790092468E0,2.500000000E0
1.576706071E2,6.505510713E1,2.545801220E1,8.009165490E0,1.470000029E0,8.940000153E1,3.790092468E0,2.500000000E0
1.586698388E2,6.505510766E1,2.545804022E1,7.944043768E0,1.370000005E0,8.890000153E1,3.790092468E0,2.500000000E0
1.596703084E2,6.505510780E1,2.545806980E1,7.918229006E0,1.500000000E0,9.190000153E1,3.790092468E0,2.500000000E0
1.606707953E2,6.505510719E1,2.545809881E1,8.101459886E0,1.419999957E0,9.390000153E1,3.790092468E0,2.500000000E0
1.616708003E2,6.505510613E1,2.545812765E1,8.144493168E0,1.389999986E0,9.290000153E1,3.790092468E0,2.500000000E0
1.626704892E2,6.505510635E1,2.545815850E1,8.152675093E0,1.450000048E0,8.940000153E1,3.790092468E0,2.500000000E0
1.636702155E2,6.505510722E1,2.545818904E1,8.165190227E0,1.440000057E0,8.709999847E1,3.790092468E0,2.500000000E0
1.646699586E2,6.505510867E1,2.545822210E1,8.153840659E0,1.470000029E0,8.609999847E1,3.790092468E0,2.500000000E0
1.656708442E2,6.505510996E1,2.545825406E1,8.193638497E0,1.509999990E0,8.369999695E1,3.790092468E0,2.500000000E0
1.666708633E2,6.505511188E1,2.545828547E1,8.262427729E0,1.480000019E0,8.330000305E1,3.790092468E0,2.500000000E0
1.676705218E2,6.505511297E1,2.545831726E1,8.271341838E0,1.470000029E0,8.480000305E1,3.790092468E0,2.500000000E0
